epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,217.894,1.34,1.20423,1.24569,0.71021,0.53234,0.56682,0.38369,1.23467,1.03963,1.17527,0.000835207,0.000835207,0.000835207
84,220.516,1.36307,1.17164,1.2357,0.68816,0.54321,0.57696,0.39297,1.21758,1.01731,1.19087,0.000834307,0.000834307,0.000834307
85,223.056,1.39772,1.20713,1.26053,0.69585,0.55012,0.58698,0.38714,1.26593,1.0859,1.18839,0.000833408,0.000833408,0.000833408
86,225.704,1.32287,1.14364,1.23152,0.73968,0.54385,0.58351,0.38922,1.26748,1.10036,1.17231,0.000832508,0.000832508,0.000832508
87,228.272,1.32738,1.10905,1.20108,0.67742,0.54003,0.58499,0.39822,1.21048,0.98704,1.15888,0.000831608,0.000831608,0.000831608
88,230.913,1.39737,1.20504,1.24414,0.70846,0.54797,0.5826,0.38934,1.26541,1.00462,1.18413,0.000830708,0.000830708,0.000830708
89,233.484,1.32605,1.11486,1.19838,0.77467,0.51809,0.59056,0.3927,1.23235,1.00151,1.17886,0.000829808,0.000829808,0.000829808
90,236.053,1.39988,1.13786,1.23262,0.75857,0.52616,0.58864,0.37965,1.32333,1.01276,1.20868,0.000828908,0.000828908,0.000828908
91,238.638,1.3754,1.18505,1.22779,0.67603,0.5381,0.57597,0.37898,1.27727,1.09305,1.191,0.000828008,0.000828008,0.000828008
92,241.212,1.31239,1.1067,1.21971,0.65043,0.53897,0.58506,0.40494,1.19717,1.04583,1.1517,0.000827108,0.000827108,0.000827108
93,243.737,1.36392,1.15708,1.21726,0.75578,0.5299,0.59681,0.39904,1.23578,0.95859,1.1723,0.000826208,0.000826208,0.000826208
94,246.36,1.34693,1.11434,1.18076,0.75748,0.53662,0.59933,0.41306,1.19345,0.96724,1.14858,0.000825308,0.000825308,0.000825308
95,248.942,1.30003,1.10028,1.18226,0.81712,0.51998,0.60167,0.41784,1.169,0.93118,1.14284,0.000824408,0.000824408,0.000824408
96,251.48,1.2793,1.0758,1.16037,0.77045,0.5504,0.61208,0.41187,1.18947,0.92739,1.15084,0.000823509,0.000823509,0.000823509
97,254.146,1.26568,1.06049,1.21514,0.76193,0.53746,0.6067,0.41222,1.17157,0.93306,1.14345,0.000822609,0.000822609,0.000822609
98,256.718,1.29752,1.12161,1.24377,0.74529,0.55537,0.61303,0.41544,1.19924,0.92038,1.15425,0.000821709,0.000821709,0.000821709
99,259.325,1.25359,1.07121,1.15344,0.80185,0.52372,0.60924,0.40905,1.18915,0.91362,1.14765,0.000820809,0.000820809,0.000820809
100,261.929,1.28404,1.07424,1.16896,0.78127,0.53208,0.59928,0.40888,1.1761,0.92969,1.13696,0.000819909,0.000819909,0.000819909
101,264.567,1.28551,1.07288,1.14968,0.7624,0.54678,0.61407,0.40214,1.1769,0.94349,1.12319,0.000819009,0.000819009,0.000819009
102,267.092,1.29462,1.04883,1.15889,0.68104,0.58893,0.61936,0.42084,1.13212,0.92029,1.116,0.000818109,0.000818109,0.000818109
103,269.642,1.2983,1.06178,1.14305,0.66957,0.57282,0.60732,0.41107,1.18689,0.93055,1.13327,0.000817209,0.000817209,0.000817209
104,272.288,1.31774,1.09391,1.16584,0.73513,0.56718,0.61511,0.41646,1.19729,0.92749,1.12747,0.000816309,0.000816309,0.000816309
105,274.863,1.26726,0.99979,1.1491,0.76059,0.55695,0.61633,0.42421,1.14754,0.90426,1.11836,0.000815409,0.000815409,0.000815409
106,277.43,1.30558,1.04923,1.16673,0.75526,0.56626,0.63143,0.43859,1.13836,0.91524,1.11982,0.000814509,0.000814509,0.000814509
107,280.034,1.24217,1.02249,1.16287,0.81461,0.55305,0.63868,0.4341,1.13923,0.87292,1.11915,0.00081361,0.00081361,0.00081361
108,282.608,1.28797,1.06147,1.17441,0.76175,0.5745,0.63284,0.42611,1.14586,0.90111,1.12378,0.00081271,0.00081271,0.00081271
109,285.159,1.21878,1.00311,1.13341,0.82571,0.54347,0.63445,0.42937,1.12799,0.88262,1.11736,0.00081181,0.00081181,0.00081181
110,287.692,1.25089,1.06755,1.15336,0.75189,0.56766,0.6182,0.42605,1.131,0.87121,1.10441,0.00081091,0.00081091,0.00081091
111,290.255,1.21065,0.97365,1.14464,0.74682,0.57331,0.6275,0.43307,1.11516,0.8915,1.09424,0.00081001,0.00081001,0.00081001
112,292.877,1.2503,1.00773,1.14427,0.81748,0.57808,0.65154,0.44651,1.12092,0.84233,1.1022,0.00080911,0.00080911,0.00080911
113,295.537,1.1885,0.95861,1.13722,0.77181,0.60436,0.65904,0.45937,1.1025,0.82521,1.09568,0.00080821,0.00080821,0.00080821
114,298.071,1.23845,1.02559,1.13389,0.74665,0.59228,0.64844,0.4382,1.14635,0.8837,1.10843,0.00080731,0.00080731,0.00080731
115,300.637,1.30425,1.04235,1.16161,0.79813,0.57837,0.64888,0.44597,1.11886,0.86305,1.09746,0.00080641,0.00080641,0.00080641
